Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
DOMAINE FLORENCE ET JOËL FORGEAU;Vins;;;17 La Rouaudière;;44330;;MOUZILLON;;44108;47.131557;-1.29627;"Gare SNCF||Gare de CLISSON||5;Gare SNCF||Gare de LE PALLET||4;Autoroute||4 Voies Nantes Cholet||4;Aéroport/aérodrome||Aéroport Nantes Atlantique||38";;02 40 33 95 37;;muscadet.forgeau@wanadoo.fr;http://www.muscadet-forgeau.com;;;"Facebook||http://www.facebook.com/domaineforgeaumuscadettement;Twitter||https://twitter.com/DomaineForgeau;Instagram||https://www.instagram.com/domaineforgeau/";;Viticulture;"Caves touristiques excellence;Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;;oui;25;6;Français;"Gros Plant du Pays Nantais;Muscadet Sèvre-et-Maine";oui;oui;oui;;1h30;oui;oui;non;oui;non;non;Français;non;;oui;;Florence Forgeau||02 40 33 95 37||muscadet.forgeau@wanadoo.fr;;;oui;Tarif groupe adulte||||||Différentes animations vous sont proposées sur notre site www.muscadet-forgeaucom;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.131557,-1.29627;Loire-Atlantique
MOULIN DE CHAUVIGNÉ;Vins;;;Moulin de Chauvigné;;49190;;ROCHEFORT-SUR-LOIRE;;49259;47.3523362;-0.6467967;"Gare SNCF||Gare de Savennières||27;Autoroute||échangeur Beaulieu sur Layon||5;Route (nationale/départ.)||route de Beaulieu- Rochefort||1;Gare routière||angers||28;Transport en commun||Rochefort sur Loire||1";;02 41 78 86 56;;info@moulindechauvigne.com;http://www.moulindechauvigne.com/;;;"Facebook||https://www.facebook.com/lemoulindechauvigne?fref=ts;Instagram||https://www.instagram.com/moulindechauvigne/";;Viticulture;"Caves touristiques excellence;Caves touristiques vignoble de Loire;Haute valeur environnementale (HVE);Vignobles et découvertes";;oui;;oui;25;1;"Anglais;Français";"Anjou Fines Bulles;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé de Loire;Savennières";;oui;oui;;;;oui;oui;;;;"Français;Anglais";oui;;oui;01/01/2022||31/12/2022||Sur RDV||Fermé le dimanche||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00||10:00||12:00||||||||||||;Mme Plessis||02 41 78 86 56||info@moulindechauvigne.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.3523362,-0.6467967;Maine-et-Loire
DOMAINE CHÂTEAU CASSEMICHÈRE;"Biscuit;Foie gras;Produits du terroir (boutique);Rillettes;Verre;Vins";;;La Cassemichère;;44330;;LA CHAPELLE-HEULIN;;44032;47.162408;-1.3694685;"Gare SNCF||Le Pallet||2;Aéroport/aérodrome||Nantes Atlantique||25";;02 40 06 74 07;02 28 01 14 43;contact@chateaucassemichere.fr;http://www.chateaucassemichere.com/;https://www.youtube.com/watch?v=Dz0GyiZGkao;"<iframe src=""https://maps.gstatic.com/intl/en_us/mapfiles/cb/mspp/pano_viewer.html?panoid=eWAmsJ7pukEAAAQo8ZIOXA&cbp=1,19.691993663485352,,0,0.28790137472721256&hl=fr-FR"" width=""100%"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>© C. Robergeaud<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/Chateau.Cassemichere/?ref=hl;;Viticulture;"Caves touristiques excellence;Caves touristiques vignoble de Loire;Vignobles et découvertes;Visitez nos entreprises";;oui;;oui;;10;"Allemand;Anglais;Espagnol;Français";"Muscadet Sèvre-et-Maine;Rosé de Loire";non;oui;oui;1h00;1h30;;oui;;;oui;oui;"Français;Allemand;Anglais;Espagnol";;;oui;;"NEAU Marlène||02 40 06 74 07||contact@chateaucassemichere.fr;||02 40 06 74 07||contact@chateaucassemichere.fr;NEAU Marlène||02 40 06 74 07||contact@chateaucassemichere.fr";;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.162408,-1.3694685;Loire-Atlantique
FERME CHAUVET : VENTE DIRECTE DE PRODUITS FERMIERS;"Rillettes;Viande";;;;Chauvet;72430;;CHANTENAY-VILLEDIEU;;72059;47.9251105;-0.1791838;"Gare SNCF||Noyen sur Sarthe||10;Autoroute||Brulon A81 Paris - Rennes||15;Gare routière||||35;Aéroport/aérodrome||Le Mans||35;Halte fluviale||Sablé sur Sarthe||17";06 99 43 77 57;02 43 95 77 57;;marylise.vovard@orange.fr;http://www.fermechauvet.com/;;;Facebook||https://www.facebook.com/Ferme-Chauvet-178320452288955;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;"Anglais;Français";;;;oui;;;;;;;;;Français;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.9251105,-0.1791838;Sarthe
MOULIN DE LA BICANE;Produits du terroir (boutique);LA BICANE;;;;44750;;CAMPBON;;44025;47.4049959;-2.0049578;Gare SNCF||SAVENAY||6;0601025465;06 01 02 54 65;;moulindelabicane@outlook.fr;www.moulindelabicane.wixsite.com/lesventsdanges;;;Facebook||https://www.facebook.com/MoulindelaBicane/;;"Agro-alimentaire;Loisirs et activités";;;;Les animaux ne sont pas acceptés à l'intérieur du moulin;oui;19;;"Anglais;Espagnol;Français";;;;oui;;;oui;oui;non;oui;oui;oui;"Français;Anglais;Espagnol";non;;oui;;Emmanuelle Jean||06 01 02 54 65||moulindelabicane@outlook.fr;||https://moulindelabicane.wixsite.com/lesventsdanges/||||06 01 02 54 65||moulindelabicane@outlook.fr;oui;;"Tarif indiv. adulte||||||Lors des portes ouvertes, les visites sont accompagnées et dure 1/2 h environ. L'entrée est participative.;Tarif indiv. enfant||||||Gratuit pour les enfants jusqu'à 5 ans";"Chèques bancaires et postaux;Espèces";47.4049959,-2.0049578;Loire-Atlantique
ATELIER DE PEINTURES EMILISE;Peinture;16 Boulevard de la Gare;;;;72260;;MAROLLES-LES-BRAULTS;;72189;48.2502069;0.318289;"Gare SNCF||vivoin||13;Autoroute||maresché A28||13";;02 43 97 19 26;;elise2b@orange.fr;https://atelier-emilise.odexpo.com/;;;;;Artisanat / Art;Métiers d'art;;;;oui;;;;;;non;non;;;oui;oui;oui;oui;oui;oui;Français;oui;Proposition clientèle||DEGPDL072V50A8QL;oui;||||sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;48.2502069,0.318289;Sarthe
CENTRE NATIONAL DE PROMOTION HORTICOLE;;BP 5;;Route de Beaufort en Vallée;;49250;;LA MENITRE;;49201;47.4076578;-0.2627155;"Gare SNCF||||0,5;Autoroute||||10;Gare routière||||0,3;Transport en commun||||0,3";;02 41 45 63 95;;info@cnph.fr;http://www.cnph.fr/;;;Facebook||https://www.facebook.com/pages/CNPH/114933778608211;;Agriculture / horticulture / Pêche;;;non;;oui;15;10;Français;;;non;non;;2 h;oui;oui;non;oui;non;non;Français;non;;;;;||||||02 41 45 63 95||christian.quignon@cnph.fr;non;;;Chèques bancaires et postaux;47.4076578,-0.2627155;Maine-et-Loire
DOMAINE TREMBLAY;Vins;;;La Grande Rue;Saint Aubin de Luigné;49190;;VAL-DU-LAYON;;49292;47.331926;-0.673169;"Gare SNCF||||25;Autoroute||||7";;02 41 78 33 04;02 41 78 68 45;info@domainetremblay.com;https://domainetremblay.com;;;;;Viticulture;"Caves touristiques vignoble de Loire;Haute valeur environnementale (HVE)";;;;oui;50;;Français;"Anjou Blanc;Anjou Fines Bulles;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé de Loire";oui;oui;oui;;;oui;;;;oui;;Français;;;oui;"01/01/2022||31/12/2022||||Fermé les dimanches et jours fériés||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||;||||||||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||||||||||";;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.331926,-0.673169;Maine-et-Loire
DOMAINE DE L'ANGELIÈRE;Vins;L'Angelière;;;CHAMP SUR LAYON;49380;;BELLEVIGNE-EN-LAYON;;49345;47.276215;-0.5620629;"Gare SNCF||||30;Autoroute||||5;Route (nationale/départ.)||||0;Gare routière||||5;Transport en commun||||1;Aéroport/aérodrome||||50";;02 41 78 85 09;;boret@orange.fr;http://www.domaine-angeliere.fr;;;Facebook||https://www.facebook.com/domaineangeliere/;;Viticulture;"Caves touristiques vignoble de Loire;Haute valeur environnementale (HVE)";;;;;;;"Anglais;Espagnol";"Anjou Blanc;Anjou Gamay;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé d'Anjou;Rosé de Loire";oui;oui;oui;;;;oui;;;;;Français;;;oui;01/01/2022||31/12/2022||Rendez-vous souhaité||Fermés le dimanche et jours fériés||09:00||12:30||14:00||18:30||09:00||12:30||14:00||18:30||09:00||12:30||14:00||18:30||09:00||12:30||14:00||18:30||09:00||12:30||14:00||18:30||09:00||12:30||14:00||17:30||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.276215,-0.5620629;Maine-et-Loire
MAGASIN TOILES DE MAYENNE;Textile / Habillement / Chaussure;;;Fontaine-Daniel;;53100;;SAINT-GEORGES-BUTTAVENT;;53219;48.278283;-0.673891;Route (nationale/départ.)||D104||0;;02.43.00.34.80;;contact@toiles-de-mayenne.com;www.toiles-de-mayenne.com;;;;;Industrie;;;non;;oui;;;"Anglais;Français";;;non;;;;oui;oui;oui;;;;Français;oui;;oui;03/01/2022||31/12/2022||||||||||13:30||18:00||10:00||12:30||13:30||18:00||10:00||12:30||13:30||18:00||10:00||12:30||13:30||18:00||10:00||12:30||13:30||18:00||10:00||12:30||13:30||18:00||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";48.278283,-0.673891;Mayenne
MIEL ET PRODUITS APICOLES, ANGE ET MARIE BIGOT;Produits apicoles;;;7, lotissement Lucien Daniel;;53190;;LA DOREE;;53093;48.4502558;-0.9647674;"Route (nationale/départ.)||D116||0;Autoroute||A84/E03||24;Aéroport/aérodrome||Laval||50;Gare SNCF||Laval||50;Gare routière||Ernée||19";;02 43 05 55 31;;ange.bigot53@orange.fr;;;;Facebook||https://www.facebook.com/ange.bigot.7;;Agriculture / horticulture / Pêche;;;oui;;oui;60;10;Français;;oui;;oui;;;non;oui;non;oui;non;non;Français;non;;oui;01/01/2022||31/12/2022||sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;48.4502558,-0.9647674;Mayenne
FERME DE LA CORBIÈRE;"Confiture;Epices / Condiment;Fromage et produit laitier;Fruits / légumes;Pain / Pâtisserie;Plantes et fleurs;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Sel;Viande;Vins;Volailles / Oeufs";;;;10, lieu-dit La Corbière - ROUSSAY;49230;;SEVREMOINE;;49301;47.089402;-1.03506;Route (nationale/départ.)||D158||;07 68 95 41 50;;;fermedelacorbiere@gmail.com;www.fermedelacorbiere.fr;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire;Loisirs et activités";;;;;oui;;;;;;oui;oui;;;;;;;oui;;"Français;Anglais";oui;Proposition clientèle||FMAPDL049V508W7I;oui;;;||www.fermedelacorbiere.fr||www.fermedelacorbiere.fr||07 68 95 41 50||fermedelacorbiere@gmail.com;oui;oui;;;47.089402,-1.03506;Maine-et-Loire
FABULLANE - VENTE DE SAVONS;"Cosmétique;Elevage";;;Le vieux logis;;72540;;CHEMIRE-EN-CHARNIE;;72074;48.0907197;-0.2007007;Route (nationale/départ.)||D4||;06 82 30 27 52;02 43 72 59 27;;fabullane@hotmail.com;;https://hearthis.at/frequence-sill-t2/fabullane/;;Facebook||https://www.facebook.com/sylvjef/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;Pour raisons de sécurité, ainsi que la présence d'animaux sur le site également;oui;10;2;"Anglais;Français";;non;non;oui;1h;1h;oui;oui;non;oui;oui;oui;"Français;Anglais";non;;oui;01/01/2022||31/12/2022||Sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 82 30 27 52||fabullane@hotmail.com;;;oui;;"Chèques bancaires et postaux;Espèces";48.0907197,-0.2007007;Sarthe
BRASSERIE DE LA DIVATTE;Bières;;;34 bis le norestier;La Chapelle-Basse-Mer;44450;;DIVATTE-SUR-LOIRE;;44029;47.2808438;-1.3744439;"Route (nationale/départ.)||D751 levée de la Divatte||0,7;Gare SNCF||mauves sur loire||4;Autoroute||A11||10;Transport en commun||la chapelle basse mer||4;Aéroport/aérodrome||nantes atlantique||30;Halte fluviale||port de la pierre percée||2";06 08 75 90 38;02 40 33 38 94;;trompesourisbzh@outlook.fr;http://www.bieretrompesouris.com/;http://www.youtube.com/watch?v=r3fNJlrJn4k;;"Facebook||http://www.facebook.com/trompe.souris.9;Google+||http://www.ptitraisin.com/bonnes-adresses/producteurs-locaux/brasseries-biere-artisanale/brasserie-artisanale-de-la-divatte.html";;Agro-alimentaire;Agriculture Biologique (AB);;oui;;oui;50;10;"Anglais;Français";;oui;oui;oui;1h00;1h30;oui;oui;non;oui;oui;oui;"Français;Anglais";non;;oui;||||||||||||18:00||20:00||||||||||||||||||||||||||||||18:00||21:00||||||14:00||20:00||||||||;Antoine BOUYER||06 08 75 90 38||trompesourisbzh@sfr.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.2808438,-1.3744439;Loire-Atlantique
CHÂTEAU DE BOIS BRINÇON;Vins;;;Le Bois Brinçon;Blaison-Gohier;49320;;BLAISON-SAINT-SULPICE;;49029;47.38709;-0.39489;Route (nationale/départ.)||D751||0,1;;02 41 57 19 62;;contact@chateau-bois-brincon.com;http://www.chateau-bois-brincon.com;;;Facebook||https://www.facebook.com/chateauboisbrincon/;;Viticulture;"Agriculture Biologique (AB);Caves touristiques vignoble de Loire;Vignobles et découvertes";;non;;oui;40;;"Anglais;Français";"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux de l'Aubance;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé d'Anjou;Rosé de Loire";;oui;oui;;1h00;;oui;;oui;;oui;"Français;Anglais";;;oui;"01/01/2022||31/12/2022||pour les groupes : possibilité le samedi après-midi uniquement sur rendez-vous||Dimanches, samedi après-midi et jours fériés fermés||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||;||||||||09:30||12:00||14:00||17:30||09:30||12:00||14:00||17:30||09:30||12:00||14:00||17:30||09:30||12:00||14:00||17:30||09:30||12:00||14:00||17:30||09:30||12:00||||||||||||;||||||||09:30||14:00||12:00||17:30||09:30||14:00||12:00||17:30||09:30||14:00||12:00||17:30||09:30||14:00||12:00||17:30||09:30||14:00||12:00||17:30||09:30||||12:00||||||||||";Château de Bois Brinçon||02 41 57 19 62||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.38709,-0.39489;Maine-et-Loire
DOMAINE DE GAGNEBERT;"Produits du terroir (boutique);Vins";;;2, chemin de la Naurivet;JUIGNE-SUR-LOIRE;49610;;LES GARENNES SUR LOIRE;;49167;47.39884;-0.4803082;"Route (nationale/départ.)||D751||0,6;Gare SNCF||Angers Saint Laud||14;Autoroute||A87||3;Aéroport/aérodrome||Angers Loire Aeroport||35";;02 41 91 92 86;02 41 91 95 50;moron@domaine-de-gagnebert.com;http://www.domaine-de-gagnebert.com;"https://www.youtube.com/watch?v=1AzoBHbbrzs;https://www.youtube.com/watch?v=CPQjyDw3c2k&t=9s;https://www.youtube.com/watch?v=cfIV35CGSFo&t=4s;https://www.youtube.com/watch?v=umOePr5okZs";"https://www.youtube.com/watch?v=1AzoBHbbrzs<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>;https://www.youtube.com/watch?v=CPQjyDw3c2k&t=9s<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>;https://www.youtube.com/watch?v=cfIV35CGSFo&t=4s<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>;https://www.youtube.com/watch?v=umOePr5okZs<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";"Facebook||https://www.facebook.com/Gagnebert?fref=ts;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1236233-d11788647-Reviews-Domaine_de_Gagnebert-Juigne_sur_Loire_Maine_et_Loire_Pays_de_la_Loire.html;Instagram||https://www.instagram.com/domainedegagnebert/;Twitter||https://twitter.com/gagnebert";;"Loisirs et activités;Viticulture";"Caves touristiques excellence;Caves touristiques vignoble de Loire;Haute valeur environnementale (HVE)";;oui;;oui;20;1;"Anglais;Français";"Anjou Blanc;Anjou Rouge;Anjou Villages Brissac;Cabernet d'Anjou;Coteaux de l'Aubance;Crémant de Loire;Rosé d'Anjou;Rosé de Loire";oui;oui;oui;1h15;1h30;oui;oui;non;oui;oui;oui;"Français;Anglais";oui;"Partenariat||FMAPDL049V503SGP;Partenariat||FMAPDL049V50AYAK";oui;"01/01/2022||31/12/2022||||Fermé les dimanches et jours fériés||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||||||||;01/01/2022||31/12/2022||||Fermé les dimanches et jours fériés||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||09:00||12:00||14:00||19:00||||||||";||02 41 91 92 86||moron@domaine-de-gagnebert.com;;;oui;Tarif indiv. adulte||||||Tarif pour visite-dégustation : 5€/pers, gratuit pour les enfants, prestation de1h30;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.39884,-0.4803082;Maine-et-Loire
COTEAUX NANTAIS;"Confiture;Fruits / légumes;Produits cidricoles / Jus de fruit";;;Lieu dit La Caffinière;Le Marché des Côteaux;44140;;REMOUILLE;;44142;47.0629208;-1.3793731;Route (nationale/départ.)||la Caffinière||0;;02 40 75 20 20;;;https://www.coteaux-nantais.shop/;https://www.youtube.com/watch?v=lZ27wAFEf9M&t=2s;;"Facebook||https://www.facebook.com/coteaux.nantais;Instagram||https://www.instagram.com/coteauxnantais/";;"Agriculture / horticulture / Pêche;Agro-alimentaire";"Agriculture Biologique (AB);Visitez nos entreprises";;non;;oui;10;5;"Allemand;Anglais;Espagnol;Français";;oui;oui;oui;;45;oui;oui;non;oui;non;non;"Français;Allemand;Anglais";oui;;oui;;;e-Resa||||||02 40 75 20 20||communication@coteaux-nantais.com;non;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.0629208,-1.3793731;Loire-Atlantique
DOMAINE DELAUNAY;"Fruits / légumes;Vins";24 rue du Daudet;;;MONTJEAN SUR LOIRE;49570;;MAUGES-SUR-LOIRE;;49244;47.3765621;-0.8505455;"Route (nationale/départ.)||RD 751, direction Chalonnes||0,5;Autoroute||A11, sortie 19||10;Aéroport/aérodrome||Nantes Atlantique||60;Gare SNCF||Champtocé sur Loire||5;Transport en commun||MONTJEAN SUR LOIRE||1";;02 41 39 08 39;Partenaire Ôsez Mauges 2022;delaunay.anjou@wanadoo.fr;http://www.domaine-delaunay.com/;;;Facebook||https://www.facebook.com/pages/Domaine-Delaunay/708942872457501;;Viticulture;"Bienvenue à la Ferme;Caves touristiques vignoble de Loire;Haute valeur environnementale (HVE);Vignobles et découvertes";;non;;oui;300;;Anglais;"Anjou Blanc;Anjou Coteaux de la Loire;Anjou Gamay;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé de Loire";oui;oui;oui;30 mn;1h;oui;oui;non;oui;oui;oui;"Français;Anglais";non;;oui;01/01/2022||31/12/2022||||||08:00||12:30||14:00||18:30||08:00||12:30||14:00||18:30||08:00||12:30||14:00||18:30||08:00||12:30||14:00||18:30||08:00||12:30||14:00||18:30||09:00||12:00||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.3765621,-0.8505455;Maine-et-Loire
TERRES CUITES YVON CAILLEAU;"Art de la table;Céramique, faïence, émail;Décoration d'intérieur;Poterie;Sculpture";Atelier LE CROC;;24, route de Bazouges;;49430;;LES RAIRIES;;49257;47.6551925;-0.2021586;"Route (nationale/départ.)||RN 23||4;Autoroute||A11||4;Aéroport/aérodrome||Angers-Marcé||15;Gare SNCF||Angers||30;Gare routière||La Flèche||12;Transport en commun||Durtal||4";;02 41 76 32 09;;contact@cailleau.fr;www.cailleau.fr;;;;;Artisanat / Art;"Métiers d'art;Qualité Tourisme;Visitez nos entreprises";;oui;;oui;55;7;;;non;non;oui;1h;2h;oui;oui;non;;oui;oui;"Français;Anglais;Espagnol";non;;oui;01/05/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||www.cailleau.fr||||02 41 76 32 09||visite@cailleau.fr;oui;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.6551925,-0.2021586;Maine-et-Loire
LES VIGNES DE L'ANGE VIN;Vins;;;;Le présidial;72340;;CHAHAIGNES;;72052;47.7539559;0.528269;"Route (nationale/départ.)||||0;Autoroute||Château du Loir||10;Gare SNCF||Château du Loir||10";06 21 53 37 17;02 43 44 92 20;;lesvignesdelangevin@orange.fr;;;;;;"Agriculture / horticulture / Pêche;Viticulture";;;oui;;oui;;;;"Coteaux du Loir;Jasnières";oui;oui;oui;;;non;oui;non;;non;oui;;non;;;;;;;oui;;Chèques bancaires et postaux;47.7539559,0.528269;Sarthe
CHOCOLATERIE - BELLANGER CHOCOLATIER;Confiserie / chocolat;;;1 rue Jacques Offenbach;ZAC de l'Oseraie;72000;;LE MANS;;72181;48.0114394;0.155928;"Route (nationale/départ.)||||0,5;Autoroute||||2;Gare SNCF||||4;Gare routière||||3,5";;02 43 87 62 22;;secretariat@chocolats-bellanger.com;www.chocolats-bellanger.com;;;;;Artisanat / Art;Visitez nos entreprises;;non;;oui;15;8;;;oui;;oui;;;;;;;non;;Français;non;Proposition clientèle||DEG878000631;oui;;"BELLANGER||02.43.87.62.22||;BELLANGER||02 43 87 62 22||secretariat@chocolats-bellanger.com";;;;;"Cartes bancaires;Espèces";48.0114394,0.155928;Sarthe
LA RADERIE;Vins;;;;La Raderie;72340;;CHAHAIGNES;;72052;47.7469579;0.51451562;Route (nationale/départ.)||||1;;02 43 79 14 90;;christophe.croisard@laraderie.fr;http://laraderie.fr;;;;;Viticulture;"Caves touristiques vignoble de Loire;Vignobles et découvertes";;oui;en extérieur;oui;100;;;"Coteaux du Loir;Jasnières";oui;oui;oui;;;oui;;non;;;;Français;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.7469579,0.51451562;Sarthe
LA FERME DES PETITES MOTTES;Fruits / légumes;;;49 Route de la Motte-allemand;;44600;;SAINT-NAZAIRE;;44184;47.29761;-2.25008;"Transport en commun||Ligne C2 - Arrêt : Les prés||1,1;Gare SNCF||||3,4";;;;;https://www.facebook.com/lafermedespetitesmottes/;;;Facebook||https://www.facebook.com/lafermedespetitesmottes/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Vente à la ferme le vendredi de 16h à 19h||||||||||||||||||||||||||||||||||||||||16:00||19:00||||||||||||||||;;;;;;;47.29761,-2.25008;Loire-Atlantique
LA NAZAIRIENNE;Bières;;;4 Route du Point du Jour;;44600;;SAINT-NAZAIRE;;44184;47.29107;-2.26071;Transport en commun||Ligne C2 - Arrêt Point du jour||0,076;;;;brasserielanazairienne@gmail.com;https://www.facebook.com/brasserie.lanazairienne;;;;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert du mardi au samedi||Fermé le samedi après-midi, dimanche et lundi||||||||||09:30||12:00||14:00||18:30||09:30||12:00||14:00||18:30||09:30||12:00||14:00||18:30||09:30||12:00||14:00||18:30||09:30||12:00||||||||||||;;;;;;;47.29107,-2.26071;Loire-Atlantique
VALORENA;;;;415 rue de l'Etier;BP 62633;44326;;NANTES;cedex 3;44109;47.2168424;-1.5567445;Transport en commun||||;;02.40.52.52.25;;francoise.marianneau@novergie.fr;www.visiteznosentreprises.com;;;;;Assainissement et traitement des déchets;;;;;;;;;;;;;;2h00;non;oui;non;;;;;;;;;;;;;;;47.2168424,-1.5567445;Loire-Atlantique
SEITA , GROUPE IMPERIAL TOBACCO;Tabac;33 rue de la Mainguais;;33 rue de la Mainguais;BP 239;44472;;CARQUEFOU;CEDEX;44026;47.2968907;-1.4922237;Transport en commun||||;;02.40.68.68.01;02.40.68.68.02;Sonia.GUILLON-EUSTACHE@fr.imptob.com;www.visiteznosentreprises.com;;;;;Industrie extractive et manufacturière (hors alimentaire);;;;;;;;;;;;;;2h00;oui;oui;oui;;oui;oui;;oui;;;;;;;;;;47.2968907,-1.4922237;Loire-Atlantique
MIAMMARKET.FR;Produits du terroir (boutique);;;;;44521;;OUDON;;44115;47.347052;-1.284136;;;;;;http://miammarket.fr/;https://youtu.be/rtXaK1EPYfY;"http://miammarket.fr/le-concept/<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/MiamMarket/;;Agro-alimentaire;;;;;;;;"Anglais;Français";;;;;;;;;;;;;Français;;;oui;;;;;;;Cartes bancaires;47.347052,-1.284136;Loire-Atlantique
