Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
HÔTEL RÉNOVA;Non classé;Hôtel;Cours des 50 otages;;11 Rue Beauregard;;44000;NANTES;;44109;47.21489;-1.555327;"Gare SNCF||Gare SNCF - accès Sud||0,988433;Gare SNCF||Gare SNCF - accès Nord||0,976045;Aéroport/aérodrome||||7,22918;Gare maritime||||1,69797";;02 40 47 57 03;;;www.hotel-renova.com;;;;;WiFi;;;;;;non;;;;24;3;0;;Anglais;non;non;oui;||||de 7h à 22h. Impératif de contacter l'hôtel pour toute arrivée après 22H||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40499/HOTPDL04440499/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.21489,-1.555327;Loire-Atlantique
LOGIS HÔTEL DUQUESNE;2 étoiles;Hôtel;;Cours des 50 Otages;12, allée Duquesne;;44000;NANTES;;44109;47.2185698;-1.5567004;"Gare SNCF||Gare SNCF - accès Sud||1,09846;Gare SNCF||Gare SNCF - accès Nord||1,03058;Aéroport/aérodrome||||7,4113;Gare maritime||||1,77942";;02 40 47 57 24;;;http://www.hotel-duquesne-nantes.com;;;;;"Local vélo;WiFi";"Accueil Vélo;Clef Verte;La Loire à vélo;La Vélodyssée";Logis;;Hôtel Cosy;;oui;5€;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";38;4;0;oui;"Anglais;Espagnol;Français";non;oui;oui;||||24H/24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://www.hotel-duquesne-nantes.com/||||02 40 47 57 24||info@hotel-duquesne-nantes.com;oui;"Chambre double||66,00||119,00||;Petit-déjeuner / pers||9,00||9,00||;Taxe de séjour / nuit / pers||0,75||0,75||";"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.2185698,-1.5567004;Loire-Atlantique
HÔTEL IBIS STYLES NANTES CENTRE PLACE GRASLIN;3 étoiles;Hôtel;;;5, Rue du Chapeau Rouge;;44000;NANTES;;44109;47.214984;-1.559973;"Gare SNCF||Gare SNCF - accès Sud||1,33597;Gare SNCF||Gare SNCF - accès Nord||1,30871;Aéroport/aérodrome||||7,07519;Gare maritime||||1,42978";;02 40 48 79 76;;;http://www.ibis.com/fr/hotel-8464-ibis-styles-nantes-centre-place-graslin/index.shtml;;;;;WiFi;;Ibis Style;;;;oui;10€;;;40;4;2;oui;Anglais;non;oui;oui;||||24H/24, veilleur de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40491/HOTPDL04440491/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.214984,-1.559973;Loire-Atlantique
HÔTEL BEST WESTERN HOTEL GRASLIN;3 étoiles;Hôtel;;;1, rue Piron;;44000;NANTES;;44109;47.21282;-1.562355;"Gare SNCF||Gare SNCF - accès Sud||1,55335;Gare SNCF||Gare SNCF - accès Nord||1,55397;Aéroport/aérodrome||||6,77983;Gare maritime||||1,13554";;02 40 69 72 91;;;http://www.hotel-graslin.com/;;;;;WiFi;"Accueil Vélo;Clef Verte;HôtelCert;La Loire à vélo;La Vélodyssée;Qualité Tourisme";Best Western;;;;;;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";47;1;0;;;non;;oui;||||24H/24 - accueil de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40758/HOTPDL04440758/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.21282,-1.562355;Loire-Atlantique
HOTEL AMIRAL;3 étoiles;Hôtel;;;26 Bis Rue Scribe;;44000;NANTES;;44109;47.2140608;-1.5629013;"Gare SNCF||Gare SNCF - accès Sud||1,58008;Gare SNCF||Gare SNCF - accès Nord||1,56339;Aéroport/aérodrome||Nantes Atlantique||6,86603;Gare maritime||||1,18042";;02 40 73 56 69;;;www.hotel-nantes.fr;Hôtel Amiral Nantes & développement durable;"Facebook||https://www.hotel-nantes.fr;Tripadvisor||;Google+||";"à consulter sur You Tube<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;"Climatisation;Local vélo;WiFi";"Accueil Vélo;Clef Verte;Club des Hôteliers;Écolabel Européen;Famille Plus;La Loire à vélo;La Vélodyssée;Qualité Tourisme;Rando Accueil";;;;;oui;7.50 euros par nuit.;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";49;6;2;oui;"Anglais;Espagnol;Français";non;oui;oui;;Françoise BERRY||02 40 73 56 69||amiral@hotel-nantes.fr;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.2140608,-1.5629013;Loire-Atlantique
HÔTEL VOLTAIRE OPÉRA;3 étoiles;Hôtel;;Quartier Graslin;10, rue Gresset;;44000;NANTES;;44109;47.212193;-1.564007;"Gare SNCF||Gare SNCF - accès Sud||1,69142;Gare SNCF||Gare SNCF - accès Nord||1,69565;Aéroport/aérodrome||||6,66297;Gare maritime||||0,995552";;02 40 73 31 04;;;http://www.hotelvoltaireoperanantes.com/;;;;;WiFi;"Accueil Vélo;Clef Verte;La Loire à vélo;La Vélodyssée";;;;;;7€;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";38;4;2;oui;Anglais;oui;non;oui;||||du lundi au dimanche de 7h à 22h30||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40489/HOTPDL04440489/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.212193,-1.564007;Loire-Atlantique
HÔTEL ABBAYE DE VILLENEUVE;Non classé;Hôtel;;;Route de la Roche-sur-Yon;;44840;LES SORINIERES;;44198;47.114503;-1.540275;"Gare SNCF||Gare SNCF - accès Sud||11,2968;Gare SNCF||Gare SNCF - accès Nord||11,498;Aéroport/aérodrome||||6,70504;Gare maritime||||10,512";;02 40 04 40 25;;;www.abbayedevilleneuve.com;;;;;"Parking privé;Piscine;Restaurant;WiFi";;;;;;oui;20€;;;22;;0;non;"Anglais;Espagnol";;;oui;"||||du lundi au vendredi de  7h à 23h;samedi et dimanche de 8h à 23h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||http://reservation.nantes-tourisme.com/fr/hebergements/a40683/HOTPDL04440683/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.114503,-1.540275;Loire-Atlantique
HÔTEL COEUR DE LOIRE;2 étoiles;Hôtel;;;3 rue Anatole Le Braz;;44000;NANTES;;44109;47.228589;-1.562591;"Gare SNCF||Gare SNCF - accès Sud||2,06563;Gare SNCF||Gare SNCF - accès Nord||1,88797;Aéroport/aérodrome||||8,38486;Gare maritime||||2,62647";;02 40 74 35 61;;;www.coeurdeloirehotel.com;;;;;"Local vélo;WiFi";"Accueil Vélo;La Loire à vélo;La Vélodyssée";;;;;non;;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo";15;0;1;non;"Anglais;Espagnol;Français";non;non;oui;||||||||07:00||12:00||17:00||20:00||07:00||12:00||17:00||20:00||07:00||12:00||17:00||20:00||07:00||12:00||17:00||20:00||07:00||12:00||17:00||20:00||07:00||12:00||17:00||20:00||07:00||12:00||||;jerome Maunie||02 40 74 35 61||contact@coeurdeloirehotel.com;;;Chambre double||70,00||120,00||;"Cartes bancaires;Espèces";47.228589,-1.562591;Loire-Atlantique
HÔTEL OCEANIA NANTES AÉROPORT;4 étoiles;Hôtel;;;Aéroport Nantes Atlantique;;44340;BOUGUENAIS;;44020;47.158177;-1.597009;"Gare SNCF||Gare SNCF - accès Sud||7,64986;Gare SNCF||Gare SNCF - accès Nord||7,78648;Aéroport/aérodrome||||0,351694;Gare maritime||||5,62376";;02 40 05 05 66;;;www.oceaniahotels.com;;;;;"Parking privé;Piscine;Restaurant;Salle de sport;Tennis;WiFi";;;;;;oui;20€/ nuit;;;87;2;4;oui;"Anglais;Espagnol;Français";oui;oui;oui;||||24H/24 - accueil de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40712/HOTPDL04440712/reserver||||||;oui;;Cartes bancaires;47.158177,-1.597009;Loire-Atlantique
HÔTEL ESCALE OCEANIA;3 étoiles;Hôtel;;;Aéroport Nantes Atlantique;;44340;BOUGUENAIS;;44020;47.158235;-1.597159;"Gare SNCF||Gare SNCF - accès Sud||7,65056;Gare SNCF||Gare SNCF - accès Nord||7,78692;Aéroport/aérodrome||||0,340784;Gare maritime||||5,62117";;02 40 32 14 14;;;http://www.oceaniahotels.com;;;;;"Parking privé;Restaurant;WiFi";;;;;;;20€/ jour;;;74;4;3;oui;"Allemand;Anglais;Espagnol";oui;oui;oui;||||24H/24 - accueil de nuit||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40710/HOTPDL04440710/reserver||||||;oui;;"Cartes bancaires;Chèques Vacances";47.158235,-1.597159;Loire-Atlantique
LE BERRY;3 étoiles;Hôtel - Restaurant;;;1 place Pierre Semard;;44600;SAINT-NAZAIRE;;44184;47.285138;-2.210848;Gare SNCF||Gare SNCF/ Pôle échange multimodal||0,038;;02 40 22 42 61;02 40 22 45 34;;www.hotelleberry.com;;Facebook||https://www.facebook.com/hotel.leberry?fref=ts;;;"Local vélo;Restaurant;WiFi";;;;;;oui;;non;;27;;1;oui;"Anglais;Français";oui;oui;non;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 22 42 61||contact@hotelleberry.com;;;"Chambre double||100,00||150,00||;Demi-pension||109,00||168,00||;Petit-déjeuner / pers||13,00||||";"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.285138,-2.210848;Loire-Atlantique
WESTOTEL NANTES ATLANTIQUE;4 étoiles;Hôtel;;;34, Rue de la Vrière;;44240;LA CHAPELLE-SUR-ERDRE;;44035;47.2827587;-1.5504134;"Gare SNCF||Gare TGV Nantes||10;Aéroport/aérodrome||Aéroport International Nantes Atlantique||20;Autoroute||A11 - Périphérique Nantes Nord||0,4;Transport en commun||Tram Train Nantes - Arrêt Erdre Active||0,4";;02 51 81 36 36;;;www.westotel.com;;"Facebook||https://www.facebook.com/pages/Westotel-4-Nantes-Atlantique/159352014091701;Google+||https://plus.google.com/u/0/b/104066197517773700044/104066197517773700044;Twitter||https://twitter.com/Westotel_Nantes";;;"Espace bien-être;Parking privé;Piscine;Piscine couverte;Restaurant;Salle de sport;WiFi";Écolabel Européen;;;;;non;;;;303;5;12;oui;"Anglais;Espagnol;Français";oui;oui;oui;||||Réception ouverte 24h/24||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||http://reservation.nantes-tourisme.com/fr/hebergements/a40485/HOTPDL04440485/reserver||||||;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.2827587,-1.5504134;Loire-Atlantique
DOMAINE DE LA GRESSIERE;3 étoiles;Hôtel - Restaurant;;;Rue de la Noue Fleurie;;44760;LA BERNERIE-EN-RETZ;;44012;47.0868;-2.03484;"Gare SNCF||La bernerie en retz||0,5;Aéroport/aérodrome||Nantes atlantique||50";;02 51 74 60 06;;;http://www.lagressiere.com;;Facebook||https://www.facebook.com/chateaudelagressiere;;;"Climatisation;Espace bien-être;Parking privé;Piscine;Restaurant;Tennis;WiFi";;;;;;non;;non;;23;;;;"Anglais;Espagnol";;oui;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||85,00||170,00||;Petit-déjeuner / pers||12,00||12,00||;Soirée étape affaires||99,00||99,00||;Taxe de séjour / nuit / pers||1,50||1,50||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.0868,-2.03484;Loire-Atlantique
HOTEL-RESTAURANT LA CREPERIE DU CHATEAU;Non classé;Hôtel - Restaurant;;;14, avenue de Champagné;;53400;CRAON;;53084;47.8519072;-0.9467387;"Gare SNCF||Laval||31,6;Autoroute||A81 sortie 4||34,2;Autoroute||A11 sortie 19||51,3";;02 43 06 10 33;;;www.hotel-restaurant-craon.com;;Facebook||https://www.facebook.com/H%C3%B4tel-Restaurant-La-Cr%C3%AAperie-Du-Ch%C3%A2teau-935816579842127;;;"Restaurant;WiFi";;;;;;oui;Au restaurant, les chiens tenus en laisse, à l'hôtel animaux acceptés avec un supplément;non;;15;;1;oui;"Anglais;Espagnol";;;oui;;Mademoiselle PRIOUX||02 43 06 10 33||creperieduchateau@orange.fr;;;"Chambre double||68,00||74,00||;Petit-déjeuner / pers||7,20||7,20||;Soirée étape affaires||76,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.8519072,-0.9467387;Mayenne
HOTEL F1 SAINT-NAZAIRE;Non classé;Hôtel;;Zac de Savine;rue des Aigrettes;;44570;TRIGNAC;;44210;47.2946371;-2.2097903;"Gare SNCF||||0,8;Transport en commun||Lignes Hélyce/U3/C1/T3/T4/T5: Herbins||0,4";;08 91 70 53 86;;;https://all.accor.com/hotel/2223/index.fr.shtml?dateIn=&nights=&compositions=1&stayplus=false#origin=accor;;;;;"Parking privé;WiFi";;Formule 1;;;;oui;5€ en supplément par jour et par animal;non;;73;2;3;oui;"Anglais;Français";non;oui;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||32,00||60,00||;Petit-déjeuner / pers||4,90||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.2946371,-2.2097903;Loire-Atlantique
HOLIDAY INN EXPRESS;3 étoiles;Hôtel;;;1 rue de la Floride;;44600;SAINT-NAZAIRE;;44184;47.2753569;-2.2048802;"Gare SNCF||||2;Transport en commun||Ligne Zéni Bus. Arrêt: Cinéville||0,02;Transport en commun||Lignes U4/U2 S/D - Arrêt: Ruban Bleu||0,18;Bord de mer||Front de mer||0,5";;02 40 19 01 01;02 40 19 01 04;;https://www.ihg.com/holidayinnexpress/hotels/fr/fr/saint-nazaire/ntesn/hoteldetail;;Facebook||https://www.facebook.com/Hiesnz?fref=ts;;;"Climatisation;Garage privé;WiFi";"Accueil Vélo;La Loire à vélo;La Vélodyssée";;;;;non;;non;"EV1-La Vélodyssée;EV6-La Loire à Vélo;V45-Vélocéan Nord Loire";75;25;3;oui;"Anglais;Espagnol;Français";non;oui;oui;01/01/2022||31/12/2022||7/7j et 24/24h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 19 01 01||resa@hie44600.com;;;"Chambre double||79,00||160,00||;Petit-déjeuner / pers||0,00||||";"Cartes bancaires;Chèques Vacances";47.2753569,-2.2048802;Loire-Atlantique
IBIS STYLES LE MANS SUD MULSANNE;3 étoiles;Hôtel - Restaurant;;;63 rue des Pins;;72230;MULSANNE;;72213;47.9127505;0.24491091;"Route (nationale/départ.)||D 338||0,1;Autoroute||A11 - A28||9;Aéroport/aérodrome||Le Mans||8;Gare SNCF||Le Mans||12";;02 43 77 33 77;;;;;;;;"Climatisation;Parking privé;Restaurant;Salle de sport;WiFi";;Ibis Style;;;;oui;10 €uros;non;;70;2;3;oui;"Anglais;Français";oui;oui;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;BEAUFILS||02 43 77 33 77||ha8q1@accor.com;||||||02 43 77 33 77||ha8q1@accor.com;non;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.9127505,0.24491091;Sarthe
HOTEL SAINT JACQUES;3 étoiles;Hôtel - Restaurant;;;Place du Monument;;72160;THORIGNE-SUR-DUE;;72358;48.0404178;0.536088;"Route (nationale/départ.)||D323 ou D357||4;Autoroute||A11||15;Aéroport/aérodrome||Le Mans||30;Gare SNCF||Gare SNCF-TGV Le Mans||30;Transport en commun||||0,2";;02 43 89 95 50;02 43 76 58 42;;http://www.hotel-sarthe.fr/;;Facebook||https://www.facebook.com/LeSaintJacquesLogis;;;"Garage privé;Parking privé;Restaurant;Salle de sport;WiFi";Welcome ! C’est beau ici !;Logis;;"2 cheminées;3 cocottes";;oui;;non;;15;2;1;oui;"Anglais;Espagnol;Français";oui;;oui;;M.  et MME FAUCHER||02 43 89 95 50||hotel.st-jacques.thorigne@wanadoo.fr;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";48.0404178,0.536088;Sarthe
HOTEL LA GARGOTE;Non classé;Hôtel - Restaurant;;;2 rue du Lac;;72120;SAINT-CALAIS;;72269;47.9255787;0.74331755;"Route (nationale/départ.)||D357||0;Autoroute||A11||35;Gare SNCF||Gare Vendôme  - Gare Le Mans : 50km||30";;02 43 35 01 42;;;;;;;;"Parking privé;Restaurant;WiFi";;;;;;oui;;non;;9;;;oui;"Anglais;Espagnol;Français";oui;non;oui;;||02 43 35 01 42||hotellagargote@hotmail.fr;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.9255787,0.74331755;Sarthe
HOTEL*** RESTAURANT LA MARJOLAINE;3 étoiles;Hôtel - Restaurant;;;;Domaine du Bas Mont;53100;MOULAY;;53162;48.2680051;-0.6432073;"Route (nationale/départ.)||N162||0,8;Autoroute||A81||15;Aéroport/aérodrome||Rennes||75;Gare SNCF||Laval||20;Gare routière||Laval||5";;02 43 00 48 42;;;http://lamarjolaine.fr;;;;;"Espace bien-être;Parking privé;Piscine;Restaurant;Salle de sport;WiFi";"Accueil Vélo;Qualité Tourisme";Logis;;"3 cheminées;3 cocottes";;oui;;non;Vélo Francette - Halage Mayenne;41;6;3;oui;"Anglais;Français";oui;non;oui;;La Marjolaine||02 43 00 48 42||lamarjolaine@wanadoo.fr;||http://reservation-hotel.logishotels.com/reservit/reserhotel.php?partid=568&hotelid=3863&lang=fr||||||;oui;"Chambre double||79,00||125,00||;Demi-pension||160,00||200,00||;Soirée étape affaires||92,00||104,00||;Petit-déjeuner / pers||11,00||13,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant;Virement";48.2680051,-0.6432073;Mayenne
HÔTEL LOGIS LE VERT GALANT;3 étoiles;Hôtel;;;70 Grande Rue;;72200;LA FLECHE;;72154;47.6994949;-0.0721091;"Route (nationale/départ.)||RD 323||1;Autoroute||A 11 sortie Le Bailleul||12;Gare routière||||0,3;Aéroport/aérodrome||Aéroport Angers-Marcé||31;Gare SNCF||Le MANS ou ANGERS||45";;02 43 94 00 51;02 43 45 11 24;;http://www.vghotel.com;https://www.youtube.com/watch?v=gDeXxVTmTd8;"Facebook||https://www.facebook.com/LeVertGalant?fref=ts;Google+||https://plus.google.com/117743921252303817889/about;Instagram||https://www.instagram.com/hotel.levertgalant/";;;"Climatisation;Local vélo;Parking privé;WiFi";"Accueil Vélo;Qualité Tourisme;Welcome ! C’est beau ici !";Logis;;Hôtel Cosy;;oui;avec supplément 5€;non;"La Vallée du Loir à vélo;Sarthe à Vélo;V44-De Loir en Loire";26;6;3;oui;"Anglais;Français";oui;non;oui;;"CHOISNET||02 43 94 00 51||contact@vghotel.com;le VERT GALANT||02 43 94 00 51||";||http://reservation-hotel.logishotels.com/reservit/avail-info.php?hotelid=1984&userid=59659962188e00fe38c7c5dd1d2dd76b6f67&partid=568||http://reservation-hotel.logishotels.com/reservit/avail-info.php?hotelid=1984&userid=59659962188e00fe38c7c5dd1d2dd76b6f67&partid=568||01 45 84 83 84||;oui;"Petit-déjeuner / pers||12,00||13,00||;Chambre familiale||149,00||169,00||;Chambre double||75,00||99,00||;Chambre single||69,00||99,00||;Soirée étape affaires||99,00||109,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement";47.6994949,-0.0721091;Sarthe
HÔTEL RESTAURANT KYRIAD LE MANS EST;3 étoiles;Hôtel - Restaurant;;;345 avenue Léon Bollée;;72000;LE MANS;;72181;47.9978582;0.22386925;"Route (nationale/départ.)||RN23 Le Mans-Paris||0;Autoroute||A11 et A28||4;Gare SNCF||||3;Gare routière||||4;Transport en commun||||0,05";;02 43 72 55 00;;;https://le-mans-est.kyriad.com/fr-fr/;https://youtu.be/1TYW8GlpMjc;"Facebook||https://www.facebook.com/hotellemanskyriadest;Tripadvisor||http://www.tripadvisor.fr/ShowUserReviews-g187195-d313290-r183078608-Kyriad_Le_Mans_Est-Le_Mans_Sarthe_Pays_de_la_Loire.html;Instagram||https://www.instagram.com/kyriadlemansest/";"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/aVkxVFJzXZw"" frameborder=""0"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;"Climatisation;Garage privé;Parking privé;Restaurant;WiFi";Club des Hôteliers;Kyriad;;;;oui;Supplément de 10 € par animal et par nuit;non;;74;2;3;oui;"Anglais;Espagnol;Français";oui;oui;;;Stéphanie HAUBERT||02 43 72 55 00||kyriadlemansest@orange.fr;||http://www.kyriad-le-mans-est.fr/fr/index.aspx||http://www.kyriad-le-mans-est.fr/fr/index.aspx||02 43 72 55 00||kyriadlemansest@orange.fr;oui;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant;Virement";47.9978582,0.22386925;Sarthe
HOTEL** LA TOUR DES ANGLAIS;2 étoiles;Hôtel;;;13 B Place Juhel;;53100;MAYENNE;;53147;48.3022224;-0.6193472;"Route (nationale/départ.)||||1;Autoroute||||15;Aéroport/aérodrome||||25;Gare SNCF||||25;Gare routière||||2";;02 43 04 34 56;;;http://latourdesanglais.com;;Facebook||https://fr-fr.facebook.com/La.Tour.des.Anglais.Mayenne;;;"Local vélo;Parking privé;WiFi";"Accueil Vélo;Qualité Tourisme";Contact hôtel;;;;oui;avec Supplément;non;"Vélo Francette - Halage Mayenne;Voies vertes de la Mayenne";20;1;;oui;"Anglais;Français";;non;oui;;"Bée Nathalie||02 43 04 34 56||latourdesanglais@wanadoo.fr;Nathalie||02 43 04 34 56||latourdesanglais@wanadoo.fr";;;;"Cartes bancaires;Chèques bancaires et postaux";48.3022224,-0.6193472;Mayenne
HOTEL PREMIERE CLASSE SAINT-NAZAIRE-TRIGNAC;1 étoile;Hôtel;;ZAC de Savine;12 rue des Aigrettes;;44570;TRIGNAC;;44210;47.2954073;-2.2088754;Transport en commun||Ligne Hélyce/U3/C1/T3/T4/T5: Herbins||0,19;;02 40 90 27 78;02 40 45 80 02;;www.premiere-classe-saint-nazaire-trignac.fr;;;;;"Parking privé;WiFi";;Première Classe;;;;oui;Animaux acceptés avec suplément de 5€;non;;69;3;3;oui;"Anglais;Français";non;oui;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 90 27 78||stnazaire.trignac@premiereclasse.fr;;;"Chambre double||38,00||65,00||;Petit-déjeuner / pers||5,90||||";"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.2954073,-2.2088754;Loire-Atlantique
BEST WESTERN PLUS HÔTEL D'ANJOU;4 étoiles;Hôtel;;;1 boulevard du Maréchal Foch;;49000;ANGERS;;49007;47.4697;-0.54834;;;02 41 21 12 11;02 41 87 22 21;;http://www.hoteldanjou.fr;;Facebook||http://fr-fr.facebook.com/pages/Best-Western-Hotel-dAnjou/141604839220490;;;"Climatisation;Restaurant;WiFi";"Accueil Vélo;La Loire à vélo;Vignobles et découvertes";Best Western;;;;;;non;"EV6-La Loire à Vélo;La Vallée du Loir à vélo;Vélo Francette - Halage Mayenne;Vélo Francette - Loire à Vélo";53;;;;"Anglais;Espagnol;Français;Néerlandais";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||27/03/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;26/05/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Chambre double||140,00||340,00||;Taxe de séjour / nuit / pers||1,50||||;Petit-déjeuner / pers||25,00||||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.4697,-0.54834;Maine-et-Loire
NOVOTEL ANGERS CENTRE GARE;4 étoiles;Hôtel;;;1 rue Auguste Gautier;;49100;ANGERS;;49007;47.46424;-0.5618;;;02 52 75 04 10;;;https://all.accor.com/hotel/B5Q6/index.fr.shtml?dateIn=2020-05-14&nights=1&compositions=1&stayplus=false#origin=accor;;;;;"Climatisation;WiFi";;;;;;oui;;;;86;;4;;"Anglais;Espagnol;Français";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Chambre double||89,00||129,00||;Taxe de séjour / nuit / pers||1,50||||";"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.46424,-0.5618;Maine-et-Loire
HÔTEL DES VOYAGEURS;1 étoile;Hôtel - Restaurant;;;1 rue Charles de Gaulle;;53810;CHANGE;;53054;48.09921;-0.7904154;;;02 43 53 21 55;;;http://www.hotel-des-voyageurs53.com/;;;;;;;;;;;;;non;;10;;;;;;;oui;;;;;;;48.09921,-0.7904154;Mayenne
AL TEST VIT 3;Non classé;Hôtel;;;100 rue baudrière;;49100;ANGERS;;49007;47.4713041;-0.5546279;;;0320202020;;;https://www.faire-savoir.com;;;;;"Climatisation;Local vélo;Parking privé;WiFi";;;;;;;;non;;;;;;;;;;||||||||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00||09:00||12:30||14:00||18:00;;;;;;47.4713041,-0.5546279;Maine-et-Loire
